group,name,unit,n,median_ms,p95_ms,p99_ms,mean_ms,stdev_ms,min_ms,max_ms,per_sec
A,"canonicalize body (small, ~0.3 KB)",ms/op,2000,0.0166,0.0343,0.0523,0.0195,0.0138,0.016,0.3276,51359.47
A,"canonicalize body (large, ~20 KB)",ms/op,641,1.6663,2.4006,2.8821,1.6664,0.4686,1.0334,3.98,600.09
A,commit_field (small body),ms/op,2000,0.0357,0.0471,0.0553,0.0317,0.0105,0.0185,0.0806,31587.53
A,sign_receipt (Ed25519),ms/op,2000,0.1099,0.1943,0.2342,0.1293,0.0413,0.0886,0.6715,7735.98
A,verify bundle (6 receipts),ms/bundle,252,1.8188,2.8788,3.2806,1.9474,0.3737,1.5832,3.2977,513.51
A,verify bundle (100 receipts),ms/bundle,18,45.7335,62.4861,62.4861,42.4962,13.1233,26.004,62.4861,23.53
A,build chain (100 receipts),ms/chain,41,25.0667,35.8231,40.3561,25.5388,6.514,16.6034,40.3561,39.16
A,verify tampered bundle (100 receipts),ms/bundle,14,38.5745,52.5903,52.5903,38.4423,7.2591,28.7304,52.5903,26.01
B,get_slot (100 slots),ms/op,2000,0.019,0.0335,0.0422,0.0206,0.0053,0.018,0.1023,48541.78
B,put_slot (100 slots),ms/op,2000,0.0742,0.1169,0.1388,0.0979,0.3613,0.0692,11.3519,10210.03
B,recall miss (100 slots),ms/op,2000,0.0086,0.0147,0.02,0.0095,0.0027,0.0082,0.0434,105241.37
B,get_slot (1000 slots),ms/op,2000,0.0202,0.038,0.0493,0.0235,0.0071,0.0189,0.0631,42492.37
B,put_slot (1000 slots),ms/op,2000,0.13,0.1608,0.188,0.1754,1.6794,0.0783,74.2148,5701.83
B,recall miss (1000 slots),ms/op,2000,0.0098,0.0202,0.0271,0.012,0.0045,0.0086,0.0564,83281.71
B,get_slot (10000 slots),ms/op,2000,0.0256,0.0506,0.0579,0.0307,0.01,0.0209,0.0801,32573.53
B,put_slot (10000 slots),ms/op,10,0.1275,0.1903,0.1903,0.1376,0.0235,0.1188,0.1903,7269.73
B,recall miss (10000 slots),ms/op,2000,0.0147,0.022,0.034,0.0172,0.0923,0.0085,3.8549,58018.76
C,full flow (pass/exec/settle/terminate),ms/flow,104,5.3886,8.5146,48.6556,7.2833,11.5673,4.4324,112.8099,137.3
C,flow without settlement (3 receipts),ms/flow,196,3.8523,7.5628,49.6842,5.4456,7.4633,3.1707,55.1782,183.64
C,idempotent replay (pass+exec),ms/op,2000,0.0732,0.1192,0.1772,0.0806,0.0234,0.0678,0.653,12404.92
C,sweep 500 expired slots (fresh batch),ms/batch,3,445.193,517.7616,517.7616,444.7306,73.2633,371.2372,517.7616,2.25
C,snapshot workspace 1 MB,ms/op,5,46.4002,47.5529,47.5529,46.582,0.954,45.1879,47.5529,21.47
C,restore workspace 1 MB,ms/op,5,13.0708,13.2586,13.2586,12.9426,0.3439,12.3598,13.2586,77.26
C,snapshot workspace 10 MB,ms/op,5,528.1885,554.7784,554.7784,516.3224,34.9573,471.2978,554.7784,1.94
C,restore workspace 10 MB,ms/op,5,126.9115,131.596,131.596,122.8792,8.9874,109.511,131.596,8.14
C,snapshot workspace 50 MB,ms/op,3,2386.749,2466.7395,2466.7395,2397.7272,64.2307,2339.6931,2466.7395,0.42
C,restore workspace 50 MB,ms/op,3,539.5909,661.0085,661.0085,574.8488,75.0253,523.9471,661.0085,1.74
C,list_ tenant slots (10k registry),ms/op,6,96.5296,111.0184,111.0184,96.068,10.8639,82.1458,111.0184,10.41
D,"raw wrapper exec (bwrap, echo)",ms/op,25,33.8819,35.865,36.2403,33.5738,1.664,29.9958,36.2403,29.79
D,gate exec via SandboxRunner (echo),ms/op,22,35.1462,37.458,39.0051,35.3589,1.3413,32.7382,39.0051,28.28
D,gate exec via SliceRunner (echo),ms/op,10,97.3681,104.4083,104.4083,97.8459,3.5233,92.1832,104.4083,10.22
D,operator kill latency (sleep payload),ms/op,10,50.8482,51.327,51.327,50.8917,0.1673,50.7556,51.327,19.65
D,egress-denied curl exec,ms/op,18,43.3781,81.6194,81.6194,48.8289,11.3368,41.1454,81.6194,20.48
E,HTTP keep-alive ping,ms/call,968,0.549,0.7416,0.8804,0.5721,0.1034,0.3997,1.7006,1747.9
E,HTTP keep-alive status,ms/call,1439,0.6915,1.0933,1.7251,0.7544,0.3123,0.4712,7.1729,1325.49
E,HTTP per-connection ping (urllib),ms/call,631,1.1511,1.7037,3.2523,1.2319,0.4597,0.8097,6.8785,811.74
E,HTTP concurrent ping (8 clients x 50),ms/call,400,4.1513,8.025,10.4689,4.4383,1.9081,0.5431,11.8171,225.31
E,stdio ping,ms/call,2000,0.0478,0.084,0.1067,0.0523,0.0172,0.0322,0.1404,19117.54
E,stdio status,ms/call,2000,0.1727,0.2714,0.4021,0.1882,0.2551,0.0907,7.5728,5314.51
E,full lifecycle over stdio,ms/flow,10,7.6477,16.6104,16.6104,8.2917,2.9922,5.6111,16.6104,120.6
E,full lifecycle over HTTP keep-alive,ms/flow,10,9.0661,23.3329,23.3329,10.753,4.6566,7.5321,23.3329,93.0
F,soak flow latency (300 flows),ms/flow,300,3.7426,6.794,139.0887,7.2725,26.6361,2.7971,368.1717,137.5
