group,name,unit,n,median_ms,p95_ms,p99_ms,mean_ms,stdev_ms,min_ms,max_ms,per_sec
A,"canonicalize body (small, ~0.3 KB)",ms/op,2000,0.01,0.0206,0.0321,0.0114,0.0068,0.0098,0.2021,87373.52
A,"canonicalize body (large, ~20 KB)",ms/op,781,0.7159,1.0873,1.3853,0.7737,0.1419,0.6793,1.7032,1292.54
A,commit_field (small body),ms/op,2000,0.0132,0.0321,0.0587,0.0168,0.009,0.0123,0.1006,59663.1
A,sign_receipt (Ed25519),ms/op,2000,0.0654,0.1091,0.1588,0.0718,0.0172,0.0611,0.234,13937.11
A,verify bundle (6 receipts),ms/bundle,494,1.2611,1.7883,2.4292,1.3537,0.2418,1.1754,3.1073,738.74
A,verify bundle (100 receipts),ms/bundle,36,22.2414,25.4789,28.4382,22.6371,1.5553,20.774,28.4382,44.18
A,build chain (100 receipts),ms/chain,57,13.8843,16.3114,16.8872,14.2342,1.0552,12.6898,16.8872,70.25
A,verify tampered bundle (100 receipts),ms/bundle,34,23.6017,29.8399,30.7521,23.974,1.876,21.9015,30.7521,41.71
B,get_slot (100 slots),ms/op,1278,0.3719,0.6399,0.7963,0.4064,0.0915,0.357,1.2487,2460.65
B,put_slot (100 slots),ms/op,342,2.3782,3.6112,5.4713,2.8583,3.3428,2.1767,46.8917,349.86
B,recall miss (100 slots),ms/op,2000,0.3757,0.5513,0.7484,0.401,0.0754,0.3585,1.0136,2493.68
B,get_slot (1000 slots),ms/op,159,4.4513,6.1878,6.8492,4.7092,0.8896,3.7192,11.8773,212.35
B,put_slot (1000 slots),ms/op,28,27.2351,31.9798,34.3089,27.6294,2.2978,24.2748,34.3089,36.19
B,recall miss (1000 slots),ms/op,212,3.9772,5.3406,6.6595,4.17,0.7152,3.5191,10.2003,239.81
B,get_slot (10000 slots),ms/op,18,43.2313,53.5319,53.5319,43.259,3.5071,38.36,53.5319,23.12
B,put_slot (10000 slots),ms/op,10,314.6001,351.1382,351.1382,311.791,31.2342,238.6225,351.1382,3.21
B,recall miss (10000 slots),ms/op,18,42.6904,49.1377,49.1377,43.5575,3.0443,39.1065,49.1377,22.96
C,full flow (pass/exec/settle/terminate),ms/flow,98,14.727,24.4751,66.8125,16.7046,8.3037,8.0537,66.8125,59.86
C,flow without settlement (3 receipts),ms/flow,41,23.4155,26.3376,72.7966,24.2515,8.0962,18.8325,72.7966,41.23
C,idempotent replay (pass+exec),ms/op,179,3.7409,5.4484,7.5694,3.9328,0.725,3.1964,8.453,254.27
C,sweep 500 expired slots (fresh batch),ms/batch,3,6601.9278,6852.3199,6852.3199,6684.09,145.7044,6598.0224,6852.3199,0.15
C,snapshot workspace 1 MB,ms/op,5,40.7719,41.0867,41.0867,40.5681,0.4984,39.851,41.0867,24.65
C,restore workspace 1 MB,ms/op,5,10.2253,10.9631,10.9631,10.2869,0.4047,9.9349,10.9631,97.21
C,snapshot workspace 10 MB,ms/op,5,450.0164,511.1932,511.1932,445.4321,45.9086,387.2159,511.1932,2.25
C,restore workspace 10 MB,ms/op,5,101.8185,108.0062,108.0062,102.8042,4.5354,96.9293,108.0062,9.73
C,snapshot workspace 50 MB,ms/op,3,2017.1786,2128.3817,2128.3817,2027.7224,95.8234,1937.607,2128.3817,0.49
C,restore workspace 50 MB,ms/op,3,509.7269,518.6014,518.6014,498.722,27.1122,467.8377,518.6014,2.01
C,list_ tenant slots (10k registry),ms/op,16,42.0828,49.2467,49.2467,43.0015,2.8377,40.1466,49.2467,23.26
D,"raw wrapper exec (bwrap, echo)",ms/op,29,27.7603,30.4872,33.3643,27.9166,1.7488,25.5713,33.3643,35.82
D,gate exec via SandboxRunner (echo),ms/op,20,34.5752,37.5137,39.0763,34.9425,1.574,32.2247,39.0763,28.62
D,gate exec via SliceRunner (echo),ms/op,10,96.706,106.7106,106.7106,96.8439,4.8223,89.894,106.7106,10.33
D,operator kill latency (sleep payload),ms/op,10,50.9756,1109.8601,1109.8601,463.9564,533.4972,50.8448,1109.8601,2.16
D,OOM quota-seal latency (memory hog),ms/op,5,162.0051,170.2106,170.2106,158.6508,12.6239,137.0054,170.2106,6.3
D,egress-denied curl exec,ms/op,22,34.21,38.2774,39.2182,34.5959,2.0591,32.2266,39.2182,28.91
E,HTTP keep-alive ping,ms/call,2000,0.4182,0.5764,0.8185,0.423,0.0948,0.2748,1.3073,2364.11
E,HTTP keep-alive status,ms/call,1477,0.5526,0.7611,1.0367,0.5846,0.108,0.4412,1.7175,1710.62
E,HTTP per-connection ping (urllib),ms/call,938,0.858,1.3311,1.6702,0.9047,0.2081,0.6017,2.4063,1105.39
E,HTTP concurrent ping (8 clients x 50),ms/call,400,4.2725,7.9191,11.496,4.5246,2.1283,0.4322,13.5349,221.01
E,stdio ping,ms/call,2000,0.0419,0.0813,0.118,0.0486,0.0196,0.0314,0.2298,20570.33
E,stdio status,ms/call,2000,0.1202,0.2313,0.2882,0.1413,0.0459,0.107,0.7152,7079.2
E,full lifecycle over stdio,ms/flow,10,5.5815,7.7295,7.7295,5.9306,0.9211,4.8339,7.7295,168.62
E,full lifecycle over HTTP keep-alive,ms/flow,10,6.9325,8.9682,8.9682,7.0364,1.0507,5.8322,8.9682,142.12
F,soak flow latency (300 flows),ms/flow,300,28.0188,52.5175,58.1148,30.145,24.0876,3.6267,357.1504,33.17
